CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
CHLD 28610 491.132812 1691762324.1601
CHLD 28611 470.195312 1691762324.1601
CHLD 28612 470.222656 1691762324.1602
CHLD 28613 470.140625 1691762324.1602
CHLD 28614 491.863281 1691762324.1602
MEM 3012.433594 1691762324.2671
CHLD 28608 52.062500 1691762324.2807
CHLD 28609 12.582031 1691762324.2807
CHLD 28610 491.132812 1691762324.2807
CHLD 28611 470.195312 1691762324.2808
CHLD 28612 491.667969 1691762324.2808
CHLD 28613 470.140625 1691762324.2808
CHLD 28614 491.863281 1691762324.2809
MEM 3012.433594 1691762324.3881
CHLD 28608 52.062500 1691762324.4071
CHLD 28609 12.582031 1691762324.4071
CHLD 28610 491.132812 1691762324.4072
CHLD 28611 477.195312 1691762324.4072
CHLD 28612 491.667969 1691762324.4072
CHLD 28613 470.140625 1691762324.4072
CHLD 28614 491.863281 1691762324.4073
MEM 3055.308594 1691762324.5178
CHLD 28608 52.062500 1691762324.5304
CHLD 28609 12.582031 1691762324.5304
CHLD 28610 491.132812 1691762324.5305
CHLD 28611 491.820312 1691762324.5305
CHLD 28612 491.667969 1691762324.5306
CHLD 28613 491.640625 1691762324.5306
CHLD 28614 491.863281 1691762324.5307
MEM 3055.558594 1691762324.6383
CHLD 28608 52.062500 1691762324.6546
CHLD 28609 12.582031 1691762324.6546
CHLD 28610 491.132812 1691762324.6547
CHLD 28611 491.820312 1691762324.6547
CHLD 28612 491.667969 1691762324.6547
