CMDLINE /home/julian/.local/share/virtualenvs/code-tW9RC7Ez/bin/python test.py
MEM 2608.035156 1691760754.0112
CHLD 25956 51.957031 1691760754.0313
CHLD 25957 12.582031 1691760754.0313
CHLD 25958 502.562500 1691760754.0313
CHLD 25959 502.546875 1691760754.0314
CHLD 25960 502.062500 1691760754.0314
CHLD 25961 502.695312 1691760754.0314
MEM 2608.035156 1691760754.1380
CHLD 25956 51.957031 1691760754.1603
CHLD 25957 12.582031 1691760754.1603
CHLD 25958 502.562500 1691760754.1604
CHLD 25959 502.546875 1691760754.1604
CHLD 25960 502.062500 1691760754.1604
CHLD 25961 502.695312 1691760754.1604
MEM 2608.035156 1691760754.2695
CHLD 25956 51.957031 1691760754.2876
CHLD 25957 12.582031 1691760754.2876
CHLD 25958 502.562500 1691760754.2877
CHLD 25959 502.546875 1691760754.2877
