"","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40"
"CCNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00312396456584892,-0.0147789872943694,-0.0304353476523725,-0.0454927576424655,-0.0576843524739858,-0.0672835654036108,-0.0780917435810763,-0.0933432067991514,-0.110802526040297,-0.126796229072199,-0.140816832038692,-0.153779329033006,-0.166714884112069,-0.178812642299472,-0.190531986490355
"CCNG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015125900938309,0.0274726084489648,0.0301827668846104,0.0153077910157389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00516215349332223,-0.00959881142440236,-0.0160105864943629,-0.0258450099366126,-0.0402769697125834,-0.0585178298264623,-0.0800182505378752,-0.0996215257534309,-0.121114071208739,-0.143931356754971,-0.168460364232202,-0.193509838084426
"CCT6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608335697633621,0.00482807956476317,0.0115395424964835,0.0194653945756579,0.0298963728667181,0.0414440990635795
"CCT8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332329192360626,0.0086838938549477,0.0152193603477169,0.0216488225444508
"CD164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106570653858978,0.00282874996365197,0.00348244366702219,0.00469101761576915,0.00408599670504276,0.0101942806733559,0.0161892385933646,0.0240865579668022,0.0333799141394447,0.0442547443975303
"CD274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904104138155843,0.00173275354951745,0.00250596840604101
"CD47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549247932514776,0.0153244533776893,0.0255535915575867,0.0315989498206594,0.0468432485938224,0.0573087250488543,0.0637482187046762,0.0694527929055109,0.079280667384267,0.0870694100846209,0.0927921286773994,0.0941439790933525,0.0998732344765962,0.0990419860585984,0.102132853702879,0.116162328350418,0.136746334448681,0.160930961160818,0.18619335999892,0.210879064816314,0.236521915068792,0.264318663371307,0.2909927918112,0.318296345064362,0.34887425136822,0.382974009118226,0.422100017935337
"CDC23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160538589828131,0.0334949383001207,0.0424204881257491,0.0548001737341474,0.0618748638438105,0.0733860396011821,0.0904468850284504,0.110836814988724,0.130162711938281,0.154331530921459,0.184536305718727,0.213330009341632,0.240981056594149,0.266534437411925,0.294519936403924,0.326786903716186,0.361034451357656,0.394368168967472,0.421562269782732,0.447748595685668,0.471896859971574,0.495090731056934,0.517498067230117
